UserId,Event,Category,Fake
F7A7BF3761,click_carrousel,Phone,0
BA8F7A71E6,send_sms,Motor,0
21C64F22FC,send_email,Jobs,0
F9E0306603,send_sms,Jobs,0
1B2143BACC,click_ad,Phone,0
EC6F74C45E,click_carrousel,Real_State,0
14F9517C14,send_email,Leisure,0
5D2C5FF4B3,click_carrousel,Leisure,0
038FDA4873,phone_call,Motor,0
C0D85B424D,phone_call,Holidays,0
5F3653A05B,phone_call,Jobs,0
BCE92A2399,phone_call,Holidays,0
6.37E+07,phone_call,Real_State,0
FF56C80519,click_ad,Jobs,0
3BEFA374F5,click_ad,Real_State,0
67BD34518B,send_sms,Jobs,0
98B1272C51,click_ad,Leisure,0
070BD01E74,click_ad,Jobs,0
0AB7634358,send_email,Holidays,0
C03757B6FB,send_sms,Real_State,0
A7FF1FB143,send_sms,Motor,0
A443E372AF,send_email,Holidays,0
6476A07FCC,send_email,Leisure,1
D0F8FFC259,send_email,Leisure,0
7E787DE224,click_ad,Leisure,0
FC9EA900F6,click_carrousel,Phone,0
4412AD8DF7,click_carrousel,Motor,0
396A6D32E6,send_email,Holidays,1
132B8BD52C,send_sms,Holidays,0
4C25646E2A,phone_call,Phone,0
80473DD288,click_ad,Holidays,0
6C3B2E4AC4,send_sms,Jobs,0
313D17C1F9,phone_call,Phone,0
B87DDE1F34,send_email,Holidays,1
D4866133EF,send_sms,Holidays,0
72286BB94A,click_ad,Holidays,0
57694325B4,send_sms,Phone,0
8E815E1BA0,send_sms,Phone,0
80473DD288,send_sms,Holidays,0
5A7C21FF99,send_email,Phone,0
00079D439D,send_email,Phone,0
A904BF04FC,click_carrousel,Phone,0
4552D0FF98,send_sms,Holidays,0
F48BDB5FB9,send_sms,Motor,0
E7FBA53C3B,click_carrousel,Jobs,1
FE27011987,send_sms,Real_State,0
C3A0C09555,send_sms,Real_State,0
94FC58225F,send_sms,Holidays,0
398A791AF4,send_sms,Motor,0
67F86FC586,click_carrousel,Leisure,1
FE8721EFC6,click_ad,Leisure,0
77CD434989,phone_call,Phone,0
DBAA911731,click_carrousel,Motor,0
60E6B6A7E1,click_carrousel,Real_State,0
1F1F43E6F9,click_carrousel,Leisure,0
F2FB18D889,send_sms,Motor,0
68CEF25F53,phone_call,Leisure,0
885B7483B1,phone_call,Motor,0
53D1DC032C,click_carrousel,Real_State,0
D4552221AB,phone_call,Jobs,0
AC35C1B9E6,click_ad,Jobs,1
EE6332E6A8,send_email,Phone,1
0BA0A36E32,send_email,Real_State,0
562CFD6094,click_ad,Holidays,0
2BF45823F2,click_ad,Holidays,0
1BF04B78FD,click_ad,Motor,0
D0DFAAA84B,phone_call,Leisure,0
1FEF708975,click_carrousel,Motor,0
93EC3F2D50,send_email,Leisure,0
7F491A3C8F,phone_call,Jobs,0
987F3C59FE,phone_call,Leisure,0
B72C9A7E23,phone_call,Motor,0
B6890008DC,phone_call,Jobs,0
5FEDA495E5,send_email,Phone,0
FFB0AC6E49,phone_call,Leisure,0
C11534BA6C,phone_call,Jobs,0
7DBAFF8B4B,phone_call,Phone,0
353BD35335,click_ad,Leisure,0
AA7F1F2782,click_carrousel,Holidays,0
4B74FCB83B,send_email,Real_State,0
0178325C29,click_carrousel,Motor,0
42ACC6DE6F,send_sms,Holidays,0
B525E38DDD,send_email,Motor,1
DB36F9A1D0,send_sms,Leisure,0
627512965A,click_carrousel,Motor,0
91C113E1C0,send_sms,Leisure,0
9C34A44950,click_ad,Jobs,0
B59686531E,click_carrousel,Phone,0
69EB430D19,click_ad,Real_State,1
2FCA2EA6A1,send_sms,Jobs,0
90A1089565,phone_call,Jobs,0
D3ACCE40FB,phone_call,Phone,0
5BBE2153C4,send_email,Motor,1
D628B3B370,send_email,Phone,0
25DC1CFACA,send_sms,Motor,0
C03674E07E,send_email,Holidays,0
38F115602F,send_sms,Real_State,0
67E7BDF68A,click_ad,Motor,0
167141F55E,send_sms,Motor,0
8D1B206009,send_email,Motor,0
FC0E70D583,click_ad,Phone,0
BC35EEAB5A,send_sms,Leisure,1
D63E0714C8,click_ad,Motor,0
388BA43B1A,click_carrousel,Holidays,0
A658DFA0D1,click_carrousel,Leisure,1
E4C7B9BE4F,send_sms,Leisure,0
AFB8076957,send_sms,Real_State,0
CAD68C6C2E,send_email,Phone,0
259C43C8D4,click_ad,Phone,0
6BA6F2DFE9,phone_call,Leisure,0
2C14DE6B16,click_ad,Leisure,0
43E8BC9A78,click_ad,Jobs,0
342257BA45,click_ad,Jobs,0
DFF7737B99,phone_call,Holidays,0
14EE5A6710,phone_call,Motor,0
93B72D5CAC,click_carrousel,Real_State,0
3481BE2BEA,click_carrousel,Leisure,0
A278DA4190,click_ad,Motor,0
B61B9B6246,send_email,Jobs,0
BDBFF06D63,phone_call,Jobs,0
A0498EE116,phone_call,Holidays,0
2E9ED01348,send_sms,Jobs,0
BCE92A2399,send_email,Holidays,0
2E957AE261,send_sms,Phone,0
0FD406938D,phone_call,Leisure,0
B2E3D53173,send_email,Jobs,0
F93E95AB84,click_carrousel,Phone,0
8DD78A5F77,send_email,Holidays,1
26A9897903,click_ad,Real_State,1
7755CBAC76,send_email,Phone,1
89BBDDCF19,phone_call,Motor,0
ED9C24907E,click_ad,Leisure,0
85E0BFA2A7,send_sms,Jobs,0
845D15B788,click_carrousel,Motor,0
70F445BC0D,phone_call,Leisure,0
DEA758C44A,phone_call,Real_State,0
AE735AC7FD,click_ad,Real_State,1
BA61664A9F,click_carrousel,Real_State,0
4552D0FF98,send_email,Holidays,0
A05BC7ABDD,phone_call,Motor,0
542F2F4D3D,click_carrousel,Motor,0
F1585EE664,click_ad,Real_State,0
184C6972F7,send_email,Jobs,0
94F4B1A939,click_carrousel,Holidays,0
7A036AC5FA,send_sms,Jobs,0
8A28DCA7BB,send_sms,Jobs,0
